,Source,Dest,Number of SP,SP length,Disparity
0,27,41,1,1,0.0
1,27,33,1,2,0.0
2,27,39,2,3,0.6666666666666667
3,27,14,1,3,0.0
4,41,33,1,1,0.0
5,41,39,2,2,1.0
6,41,14,1,2,0.0
7,33,39,1,1,0.0
8,33,14,1,2,0.0
9,39,14,1,2,0.0
10,38,35,1,1,0.0
11,38,48,1,2,0.0
12,38,22,1,2,0.0
13,35,48,1,2,0.0
14,35,22,1,2,0.0
15,48,22,1,1,0.0
16,31,25,1,1,0.0
17,49,34,1,1,0.0
18,11,16,1,1,0.0
19,11,15,1,1,0.0
20,16,15,1,1,0.0
21,42,40,1,1,0.0
22,42,46,2,2,1.0
23,40,46,1,1,0.0
24,17,10,1,1,0.0
25,17,19,1,4,0.0
26,10,19,1,4,0.0
27,3,43,1,1,0.0
28,3,23,2,2,1.0
29,43,23,1,1,0.0
30,36,28,1,1,0.0
31,20,2,1,1,0.0
32,30,37,1,1,0.0
33,30,47,1,2,0.0
34,30,9,3,6,0.5555555555555556
35,30,4,1,2,0.0
36,37,47,1,1,0.0
37,37,9,1,5,0.0
38,37,4,2,3,0.6666666666666667
39,47,9,1,4,0.0
40,47,4,2,4,0.5
41,9,4,1,6,0.0
42,45,7,1,1,0.0
43,45,12,1,2,0.0
44,45,8,1,3,0.0
45,7,12,1,1,0.0
46,7,8,1,2,0.0
47,12,8,1,1,0.0
48,48,43,1,1,0.0
49,48,34,1,2,0.0
50,48,49,1,3,0.0
51,48,23,1,2,0.0
52,43,34,1,1,0.0
53,43,49,1,2,0.0
54,43,23,1,1,0.0
55,34,49,1,1,0.0
56,34,23,1,1,0.0
57,49,23,1,2,0.0
58,9,27,1,1,0.0
59,9,45,1,2,0.0
60,27,45,1,1,0.0
61,2,3,1,1,0.0
62,2,17,1,6,0.0
63,3,17,1,5,0.0
64,16,11,1,1,0.0
65,16,37,2,2,1.0
66,16,20,3,3,0.888888888888889
67,11,37,1,1,0.0
68,11,20,1,2,0.0
69,37,20,1,1,0.0
70,12,7,1,1,0.0
71,18,44,1,1,0.0
72,8,4,2,4,0.5
73,14,42,1,1,0.0
74,14,39,1,2,0.0
75,14,35,1,3,0.0
76,42,39,1,1,0.0
77,42,35,1,2,0.0
78,39,35,1,2,0.0
79,19,46,1,1,0.0
80,19,40,1,1,0.0
81,46,40,1,1,0.0
82,30,15,1,1,0.0
83,30,10,2,6,0.33333333333333337
84,15,10,1,5,0.0
85,22,33,1,1,0.0
86,22,41,1,2,0.0
87,22,38,1,2,0.0
88,22,47,1,3,0.0
89,33,41,1,1,0.0
90,33,38,1,1,0.0
91,33,47,1,2,0.0
92,41,38,1,1,0.0
93,41,47,1,2,0.0
94,38,47,2,3,0.6666666666666667
95,3,43,1,1,0.0
96,3,34,1,2,0.0
97,3,23,2,2,1.0
98,43,34,1,1,0.0
99,43,23,1,1,0.0
100,34,23,1,1,0.0
101,48,46,1,1,0.0
102,48,19,1,1,0.0
103,48,22,1,1,0.0
104,48,14,2,3,0.6666666666666667
105,46,19,1,1,0.0
106,46,22,1,1,0.0
107,46,14,2,3,0.6666666666666667
108,19,22,1,1,0.0
109,19,14,1,3,0.0
110,22,14,1,3,0.0
111,4,49,2,4,0.5
112,4,10,1,6,0.0
113,4,17,1,6,0.0
114,49,10,1,5,0.0
115,49,17,1,5,0.0
116,10,17,1,1,0.0
